_id,ltable_id,rtable_id,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,id_id_exm,id_id_anm,id_id_lev_dist,id_id_lev_sim,name_name_jac_qgm_3_qgm_3,name_name_cos_dlm_dc0_dlm_dc0,name_name_mel,name_name_lev_dist,name_name_lev_sim,price_price_lev_dist,price_price_lev_sim,price_price_jar,price_price_jwn,price_price_exm,price_price_jac_qgm_3_qgm_3,label
10,466,579,sony 30gb handycam hard disk drive camcorder dcrsr45,sony 30gb handycam hard disk drive camcorder dcrsr45 1/8 ' advanced had ccd imager 40x optical/2000x digital zoom 2.7 ' wide ( 16:9 ) touch panel clear photo lcd plus display hybrid recording to hard disk drive or memory stick media built-in zoom microphone with 5.1 ch recording carl zeiss vario-tessar lens usb 2.0 interface super nightshot infrared system,None,sony handycam hdr-sr10 high definition digital camcorder hdrsr10,16:9 2.7 ' hybrid lcd,549.0,0,0.8048359240069085,3.0,0.0,0.2696629213483146,0.37499999999999994,0.84703528881073,33.0,0.484375,5.0,0.0,0.0,0.0,0,0.0,0
11,190,34,panasonic kx-tg4500b black 5.8 ghz cordless phone system kxtg4500b,panasonic kx-tg4500b black 5.8 ghz cordless phone system kxtg4500b frequency-hopping spread spectrum technology all-digital voice mail system handles up to 4 lines tollsaver 2-way recording black finish,None,panasonic kx-ts108w corded phone,1 x phone line ( s ) white,None,0,0.17894736842105263,3.0,0.0,0.28,0.3333333333333333,0.8346460461616516,38.0,0.4242424242424242,0.0,1.0,1.0,1.0,1,1.0,0
12,1021,17,linksys compact wireless-g usb adapter wusb54gc,linksys compact wireless-g usb adapter wusb54gc connects your desktop or notebook to a wireless network at up to 54mbps when used with a usb 2.0 port compatible with wireless-b networks ( at 11mbps ) protected by wpa and up to 128-bit data encryption,39.0,linksys wireless-g range expander wireless bridge wre54g,54mbps,None,0,0.016650342801175277,3.0,0.25,0.2727272727272727,0.3086066999241838,0.805364727973938,35.0,0.375,4.0,0.0,0.0,0.0,0,0.0,0
13,719,798,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,None,1.6 cu.ft . over the range microwave,None,None,0,0.9010025062656641,2.0,0.33333333333333337,0.25,0.23904572186687872,0.6838850378990173,32.0,0.4838709677419355,0.0,1.0,1.0,1.0,1,1.0,0
14,519,399,nikon coolpix s550 blue 10.0 megapixels compact digital camera coolpixs550cb,nikon coolpix s550 blue 10.0 megapixels compact digital camera coolpixs550cb 5x optical zoom nikkor glass lens electronic vr image stabilization bright 2.5 ' high resolution lcd in-camera red-eye fix face-priority af d-lighting cool blue finish,None,nikon digital camera leather case 5811,leather black,7.99,0,0.7687861271676301,2.0,0.33333333333333337,0.22988505747126436,0.3872983346207417,0.7938596606254578,55.0,0.2763157894736842,4.0,0.0,0.0,0.0,0,0.0,0
15,675,1021,sony 26 ' bravia m-series black lcd flat panel hdtv kdl26m4000,"sony 26 ' bravia m-series black lcd flat panel hdtv kdl26m4000 1366 x 768p resolution advanced contrast enhancer circuit ( ace ) bravia engine fully digital video processor atsc/ntsc tuner with qam 9,000:1 dynamic contrast ratio 3d comb filter black finish",None,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,None,1098.72,0,0.6611165523996082,4.0,0.0,0.32954545454545453,0.42640143271122083,0.8345057964324951,32.0,0.4838709677419355,7.0,0.0,0.0,0.0,0,0.0,0
16,14,517,panasonic hands-free headset kxtca86,panasonic hands-free headset kxtca86 comfort fit and fold design noise cancelling microphone standard 2.5 mm connection,14.95,panasonic kx-tga630s cordless handset,silver pearl wall-mountable,28.34,0,0.027079303675048405,2.0,0.33333333333333337,0.2833333333333333,0.25,0.82344651222229,23.0,0.3783783783783784,4.0,0.19999999999999996,0.46666666865348816,0.46666666865348816,0,0.0,0
17,647,1074,sony white speaker dock and clock radio for ipod and iphone icfc1ipmk2wht,sony icfc1ipmk2 white speaker dock and clock radio for ipod and iphone icfc1ipmk2wht unique adjustable backstop for ipods 3 wake-sleep sound alert options digital am-fm tuner alarm clock automatic time set automatic daylight savings time battery charger audio input white finish,None,sony xdr-s10hdip clock radio with ipod dock xdrs10hdip,lcd,149.95,0,0.6024208566108007,3.0,0.25,0.23404255319148937,0.5330017908890261,0.8099543452262878,44.0,0.3972602739726028,6.0,0.0,0.0,0.0,0,0.0,0
18,345,653,canon eos 40d digital slr camera and 28-135mm lens eos40d28135,"canon eos 40d digital slr camera and 28-135mm lens eos40d28135 10.1 megapixel cmos sensor digic iii image processor auto pop-up , retractable , built-in flash 3.0 ' tft color liquid-crystal monitor af system with 9 cross-type sensors includes 28-135mm lens 1901b017 black finish",None,canon powershot sd790 is digital camera 2554b001,"canon powershot sd790 is 10 megapixel digital camera with 3x optical zoom , 3 ' lcd , & pictbridge",None,0,0.5283307810107197,3.0,0.0,0.2087912087912088,0.35856858280031806,0.8124929070472717,43.0,0.30645161290322576,0.0,1.0,1.0,1.0,1,1.0,0
19,993,419,canon black ef 70-300mm f/4 -5.6 is usm telephoto zoom lens 0345b002,canon black ef 70-300mm f/4 -5.6 is usm telephoto zoom lens 0345b002 15 elements in 10 groups lens construction 4.9 feet closest focusing distance 6-group helical zoom 58mm filter size black finish,None,canon eos 40d digital slr camera with ef 28-135mm f/3 .5 -5.6 is usm lens 1901b017,canon eos 40d digital slr camera with 28-135mm lens,1029.88,0,0.4219536757301108,3.0,0.0,0.2125984251968504,0.43301270189221935,0.8227198123931885,59.0,0.2804878048780488,7.0,0.0,0.0,0.0,0,0.0,0
20,138,205,sony dvd remote control for ps2 black finish 711719707608,"sony dvd remote control for ps2 711719707608 works as a full-featured standard controller performs audio track selection , subtitle display and multiangle options designed to match the sleek look of playstation 2",19.0,sony remote control rmv310,"tv , vcr , dvd player , cable box , satellite receiver , amplifier , cd player , dvr 23 ft universal remote",14.72,0,0.673170731707317,3.0,0.0,0.27941176470588236,0.5,0.8021592497825623,34.0,0.4035087719298246,3.0,0.4,0.6333333253860474,0.6700000166893005,0,0.08333333333333333,0
21,836,1034,ihome ipod & iphone clock radio & audio system ip99br,ihome ip99 ipod & iphone clock radio & audio system ip99br universal dock for iphone auto-set clock programmable snooze charges ipod or iphone while docked reason8 speaker chambers line in jack full function remote control included dual alarm clock extra-large lcd display black finish ( iphone not included ),149.0,sony ipod/phone dock clock radio black nic icfc1ipmk2whi,None,61.42,0,0.8085106382978724,3.0,0.25,0.20689655172413793,0.2357022603955158,0.6241136789321899,33.0,0.4107142857142857,5.0,0.0,0.6000000238418579,0.6000000238418579,0,0.0,0
22,444,880,sony silver cyber-shot 7.2 megapixel digital camera dscw120,sony silver cyber-shot 7.2 megapixel digital camera dscw120 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom silver finish,None,sony cyber-shot dsc-w150 digital camera black dscw150/b,8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd,129.99,0,0.5045454545454545,3.0,0.0,0.4074074074074074,0.5345224838248487,0.8236715793609619,29.0,0.5084745762711864,6.0,0.0,0.0,0.0,0,0.0,0
23,717,801,lg over-the-range black microwave oven lmv1680bk,lg over-the-range black microwave oven lmv1680bk hidden venting system 300 cfm exhaust system dual distribution technology incandescent cooktop light bi-level cooking rack melt & soften feature child lock black finish,None,lg 2.0 cu.ft . over the range microwave oven,None,None,0,0.8951310861423221,3.0,0.0,0.3142857142857143,0.4082482904638631,0.7697600722312927,30.0,0.375,0.0,1.0,1.0,1.0,1,1.0,0
24,558,485,d-link wireless n usb adapter dwa130,"d-link wireless n usb adapter dwa130 complies with draft 802.11 n standards and is backward compatible with 802.11 b/g up to 300 mbps data transfer rates , delivers up to 12x the speed and 4x the range of wireless-g led lights include link and activity wep ( wired equivalent privacy ) , wpa and wpa2 ( wi-fi protected access ) usb 2.0",None,linksys wga600n wireless gaming adapter,54mbps,None,0,0.8691756272401434,3.0,0.0,0.25396825396825395,0.3651483716701107,0.6783000826835632,26.0,0.33333333333333337,0.0,1.0,1.0,1.0,1,1.0,0
25,844,819,speck seethru red hard shell case for 13 ' macbook mb13redseev2,speck seethru red hard shell case for 13 ' macbook mb13redseev2 translucent hard plastic shell gives great protection full access to all controls rubber feet for added support red finish,None,speck products seethru case for apple 13 ' macbook mb13-blu-see-v2,plastic blue,None,0,0.9703791469194313,2.0,0.33333333333333337,0.42857142857142855,0.6674238124719146,0.8572871685028076,31.0,0.5303030303030303,0.0,1.0,1.0,1.0,1,1.0,0
26,109,366,canon high capacity color ink cartridge color ink cl51,"canon high capacity color ink cartridge cl51 compatible with pixma ip6210d , ip6220d , mp150 , mp170 and mp450 printers",35.0,canon pg-40 twin pack black ink cartridge 0615b013,black,None,0,0.2978142076502732,3.0,0.0,0.2702702702702703,0.40089186286863654,0.8147667646408081,32.0,0.40740740740740744,4.0,0.0,0.0,0.0,0,0.0,0
27,256,460,panasonic silver dect 6.0 cordless telephone kxtg1033s,panasonic kx-tg1033s silver dect 6.0 cordless telephone kxtg1033s dect 6.0 technology light up indicator 16-minute all-digital answering system silver finish,None,panasonic kx-tga820b cordless handset,black,39.76,0,0.5565217391304348,3.0,0.0,0.25,0.3779644730092272,0.7907693386077881,31.0,0.42592592592592593,5.0,0.0,0.0,0.0,0,0.0,0
28,608,695,samsung 22 ' white flat panel lcd hdtv ln22a451,samsung 22 ' white flat panel series 4 lcd hdtv ln22a451 1680 x 1050 resolution 3000:1 contrast ratio srs trusurround xt cold cathode fluorescent lamp ( ccfl ) 8ms response time hidden bottom speakers pc compatible white finish,None,samsung 4 series ln22a450 22 ' lcd tv,samsung ln22a450 22 ' widescreen 720p lcd hdtv 3000:1 dynamic contrast ratio 8ms response time piano black,397.77,0,0.8748201438848922,2.0,0.33333333333333337,0.31343283582089554,0.4714045207910316,0.8403931856155396,30.0,0.36170212765957444,6.0,0.0,0.0,0.0,0,0.0,0
29,674,889,sony 19 ' bravia m-series silver lcd flat panel hdtv kdl19m4000s,sony 19 ' bravia m-series silver lcd flat panel hdtv kdl19m4000s 720p resolution ( 1440x900 ) up to 1080/60p input capable via hdmi mpeg noise reduction 3d comb filter atsc/ntsc tuner with qam vesa hole spacing compatible cinemotion reverse 3:2 pulldown technology silver finish,None,sony bravia z series kdl-40z4100 40 ' lcd tv kdl40z4100/b,"40 ' atsc , ntsc 16:9 1920 x 1080 dolby , surround hdtv 1080i , 1080p",1327.47,0,0.7581552305961755,3.0,0.0,0.2553191489361702,0.38138503569823695,0.7968801259994507,34.0,0.46875,7.0,0.0,0.0,0.0,0,0.0,0
30,919,1004,apple 8gb green 4th generation ipod nano mb745lla,"apple 8gb green 4th generation ipod nano mb745lla holds up to 2,000 songs in 128-kbps aac format , 7,000 ipod-viewable photos and 8 hours of video 2 ' ( diagonal ) liquid crystal display with blue-white led backlight 320-by-240-pixel resolution give it a shake to shuffle your music turn it sideways to view cover flow mac and windows compatible green finish",149.0,apple 8gb ipod nano silver ( 4th generation ) mb598ll/a,None,146.75,0,0.9153386454183267,4.0,0.0,0.4794520547945205,0.6708203932499369,0.8714100122451782,30.0,0.4545454545454546,3.0,0.5,0.699999988079071,0.7599999904632568,0,0.15384615384615385,0
31,577,961,canon silver 10 megapixel powershot digital camera sd890is,canon silver 10 megapixel powershot digital camera sd890is 10.0 megapixel 5x optical zoom optical image stabilizer 2.5 ' purecolor lcd face detection technology motion detection technology digic iii image processor red-eye correction silver finish,None,canon powershot a1000 is digital camera gray 3210b001,"canon powershot a1000 is 10 megapixel digital camera w / 4x optical zoom , 2.5 lcd , optical image stabilizer , & face detection gray",None,0,0.6004162330905307,3.0,0.0,0.3372093023255814,0.4999999999999999,0.8318895697593689,36.0,0.3793103448275862,0.0,1.0,1.0,1.0,1,1.0,0
32,963,97,canon printer ink cartridge 4 colors pack 2946b004,"canon printer ink cartridge 4 colors pack 2946b004 fine technology for exceptional sharpness and detail compatible with pixma ip3600 , pixma ip4600 , pixma mp620 and pixma mp980 includes 4 ink tanks ( black , cyan , magenta , yellow )",47.0,canon cli-8pc photo cyan ink cartridge 0624b002,photo cyan,13.99,0,0.10072689511941846,2.0,0.33333333333333337,0.24691358024691357,0.40089186286863654,0.8450343608856201,33.0,0.33999999999999997,4.0,0.19999999999999996,0.4833333194255829,0.4833333194255829,0,0.0,0
33,1038,886,sony bd/dvd home theater system bdvis1000,"sony bd/dvd home theater system bdvis1000 s-air wireless capability xmb ( xross media bar ) graphical user interface precision cinema hd with hdmi upscaler 24p true cinema deep color x.v.color 480i/480p/576i / 576p/720p/1080i / 1080p ( 60hz ) resolution with hdmi dolby digital , dolby digital plus , dolby truehd , dts , dts-hd high resolution , dts-hd master audio , lpcm 2ch , lpcm 6ch , lpcm 8ch decoder with hdmi black finish",999.0,onkyo hts5100 home theater system hts5100b,", a/v receiver , 7.1 speakers 1200w rms dolby pro logic iix , dolby digital , dolby digital ex , dts , dts-es , dts neo :6 , dts 96/24 black",478.72,0,0.8535645472061657,4.0,0.0,0.3333333333333333,0.5000000000000001,0.6916126608848572,16.0,0.6190476190476191,5.0,0.16666666666666663,0.4555555582046509,0.4555555582046509,0,0.0,0
34,226,585,sony lcs-csq/b black soft carrying case lcscsqb,"sony lcs-csq/b black soft carrying case lcscsqb compatible with t , w and n series cameras durable nylon construction perfect for travel black finish",None,sony lcs-x20 camcorder case lcsx20,"nylon , polyamide black",None,0,0.3863247863247863,3.0,0.0,0.2222222222222222,0.33806170189140655,0.7974417805671692,25.0,0.46808510638297873,0.0,1.0,1.0,1.0,1,1.0,0
35,1011,648,panasonic dect 6.0 pearl silver expandable digital cordless phone system kxtg6313s,panasonic dect 6.0 pearl silver expandable digital cordless phone system kxtg6313s 3 handsets up to 6 multi-handset capability dect 6.0 technology ringer id call waiting caller id voicemail hold mute clock alarm led lighting night mode speakerphone 11 days standby 5 hours talk time pearl silver finish,69.0,panasonic palmcorder sdr-h60 digital camcorder sdr-h60s,"panasonic sdr-h60 60gb hard disk drive/sd hybrid camcorder with 50x optical zoom , advanced optical image stabilization , one-touch dvd copy , anti-shock shield and one-touch navigation , records to internal hard drive or sd card",None,0,0.6409495548961424,4.0,0.0,0.20952380952380953,0.2461829819586655,0.7978368997573853,51.0,0.3780487804878049,4.0,0.0,0.0,0.0,0,0.0,0
36,482,1071,sony silver cyber-shot digital camera dscw170,sony silver cyber-shot digital camera dscw170 10.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens bionz real imaging processor technology 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide silver finish,None,sony dpfd100 digital photo frame,photo viewer 10 ' lcd,249.12,0,0.45004668534080294,4.0,0.0,0.208955223880597,0.3651483716701107,0.7625505328178406,30.0,0.33333333333333337,6.0,0.0,0.0,0.0,0,0.0,0
37,152,139,panasonic plain paper fax/copier with cordless phone answering system grey finish kxfg2451,panasonic plain paper fax/copier with cordless phone answering system kxfg2451 automatic fax/phone switching 2.4 ghz gigarange cordless handset with handset speakerphone voice enhancer technology all-digital answering system ( 18 min ) navigator key with 2-line display,119.0,panasonic kx-tg4500b corded/cordless telephone,4 x phone line ( s ) black,None,0,0.9144736842105263,2.0,0.33333333333333337,0.20175438596491227,0.14433756729740646,0.7754106521606445,63.0,0.30000000000000004,5.0,0.0,0.0,0.0,0,0.0,0
38,252,764,sony slv-d380p black dvd vhs combo player slvd380p,"sony slv-d380p black dvd vhs combo player slvd380p line input recording component output progressive output multi-brand tv remote control cd , mp3 , and jpeg playback 4-head hi-fi stereo auto head cleaner black finish no tuner",None,sony dvp-ns700h / s dvd player dvpns700hs,"dvd + rw , dvd-rw , dvd + r , dvd-r , cd-rw dvd video , cd-da , mp3 , jpeg , svcd , video cd playback 1 disc ( s ) progressive scan silver",111.68,0,0.32984293193717273,3.0,0.0,0.2028985507246377,0.40089186286863654,0.8090975880622864,32.0,0.36,6.0,0.0,0.0,0.0,0,0.0,0
39,829,719,samsung 63 ' black flat panel series 6 plasma hdtv pn63a650,"samsung 63 ' black flat panel series 6 plasma hdtv pn63a650 1920 x 1080 full hd resolution 1,000,000:1 dynamic contrast ratio dnie pro picture-in-picture srs trusurroundxt ultra filterbright anti glare filter 100,000 hour panel life touch of color atsc/ntsc/clear qam built-in tuner black with red finish",None,samsung 6 series ln32a650 32 ' lcd tv,"samsung ln32a650 32 ' 1080p lcd hdtv 50,000:1 dynamic contrast ratio 4ms response time",916.13,0,0.8673100120627262,2.0,0.33333333333333337,0.2345679012345679,0.42640143271122083,0.8296367526054382,39.0,0.3389830508474576,6.0,0.0,0.0,0.0,0,0.0,0
40,184,167,garmin 010-10823-00 black nuvi 660 vehicle suction cup mount 0101082300,garmin 010-10823-00 black nuvi 660 vehicle suction cup mount 0101082300 replacement suction cup mount compatible with nuvi 660 black finish,46.0,garmin vehicle suction cup mount,garmin 010-10723-03 vehicle suction cup mount,None,0,0.907608695652174,2.0,0.33333333333333337,0.44285714285714284,0.7071067811865475,0.8213908672332764,39.0,0.45070422535211263,4.0,0.0,0.0,0.0,0,0.0,0
41,463,742,yamaha rx-v363bl 5.1 channel digital home theater receiver in black rxv363bk,"yamaha rx-v363bl 5.1 channel digital home theater receiver in black rxv363bk 500 watts powerful surround sound ( 100w x 5 ) ipod and bluetooth audio compatibility dolby digital , dts and dolby pro logic ii decoding cinema dsp with 8 dsp programs compressed music enhancer 192khz/24-bit dacs for all channels remote control black finish",199.0,yamaha yht-390bl home theater system yht-390bl,", 5.1 speakers progressive scan 600w rms black",319.96,0,0.6239892183288409,3.0,0.0,0.22826086956521738,0.40451991747794525,0.7608409523963928,48.0,0.368421052631579,4.0,0.33333333333333337,0.7388888597488403,0.7388888597488403,0,0.0,0
42,927,934,canon pixma photo all-in-one printer mp980,"canon pixma photo all-in-one printer mp980 high performance wireless printer , copier and scanner easy scroll wheel 3.5 ' high definition lcd display maximum 9600 x 2400 color dpi six individual inks tanks auto duplex print smart copying automatic image optimization no warm-up energy star qualified",299.0,canon pixma mp480 color inkjet all-in-one photo printer 2918b002,None,None,0,0.9925053533190579,2.0,0.33333333333333337,0.4864864864864865,0.6804138174397718,0.8645833730697632,27.0,0.578125,5.0,0.0,0.0,0.0,0,0.0,0
43,530,879,sony dvp-fx820 pink 8 ' portable dvd player dvpfx820p,"sony dvp-fx820 pink 8 ' portable dvd player dvpfx820p swivel & flip screen with dual sensor for remote control control buttons on screen bezel 12 bit video dac with 108 mhz processing removable , rechargeable battery & car adapter included pink finish",None,sony dvpfx820 portable dvd player dvpfx820/w,"8 ' lcd dvd + rw , dvd-rw , dvd + r , dvd-r , cd-rw dvd video , mp3 , jpeg playback 1 disc ( s ) progressive scan white",149.0,0,0.6029579067121729,3.0,0.0,0.6415094339622641,0.5443310539518174,0.8922567963600159,12.0,0.7735849056603774,5.0,0.0,0.0,0.0,0,0.0,0
44,637,429,sony white earbud style headphones mdrex55wh,sony mdrex55whi white earbud style headphones mdrex55wh 9mm ex driver provides comfort fit and deep bass sound soft fitting silicon housing 3 sizes earbuds carrying pouch white finish,None,sony mdrex81lp comfort fit ear hanger headphones - choose color ( black ),None,None,0,0.6734693877551021,3.0,0.0,0.21428571428571427,0.22645540682891918,0.7844887375831604,51.0,0.3013698630136986,0.0,1.0,1.0,1.0,1,1.0,0
45,997,544,canon pink 8.0 megapixel powershot digital camera sd1100isp,canon pink 8.0 megapixel powershot digital camera sd1100isp 8.0 megapixel 3x optical zoom 2.5 ' color lcd 18 shooting modes red-eye correction face detection technology isaps technology melody pink finish,178.0,canon powershot sd1100 is digital elph camera rhythm & blue 2512b001,"canon powershot sd1100 is 8 megapixels , iso 1600 , 3x optical zoom digital camera rhythm & blue",None,0,0.5456369107321966,3.0,0.0,0.35051546391752575,0.42640143271122083,0.8167062997817993,50.0,0.2647058823529411,5.0,0.0,0.0,0.0,0,0.0,0
46,489,574,canon black 8.0 megapixel powershot digital camera a590is,canon black 8.0 megapixel powershot digital camera a590is 8.0 megapixels 4x optical zoom optical image stabilizer large bright 2.5 ' lcd 19 shooting modes red-eye correction isaps technology face detection technology motion detection technology black finish,None,sony cyber-shot dsc-t300 digital camera black dsct300/b,10.1 megapixel 16:9 2x digital zoom 3.5 ' active matrix tft color lcd,273.95,0,0.8519163763066202,3.0,0.0,0.25842696629213485,0.40089186286863654,0.6072757840156555,43.0,0.24561403508771928,6.0,0.0,0.0,0.0,0,0.0,0
47,533,632,panasonic 5.8 ghz black expandable digital cordless phone kxtg4321b,panasonic 5.8 ghz black expandable digital cordless phone kxtg4321b multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold mute clock alarm led lighting speakerphone intercom 11 days standby 5 hours talk time black finish,None,panasonic kx-tg9361b expandable digital cordless phone,1 x phone line ( s ) black,45.04,0,0.8433544303797469,2.0,0.33333333333333337,0.5185185185185185,0.6804138174397718,0.8502280116081238,22.0,0.6716417910447761,5.0,0.0,0.0,0.0,0,0.0,0
